Labels,Rainfall,Soil_Moisture,Evapo_Transpiration,Discharge
08-Dec-18,0.43,30.3475546,3.888008573,82.929
10-Dec-18,0.25,28.43438178,3.323218514,47.334
11-Dec-18,0.49,27.41504702,1.672374072,48.028
12-Dec-18,0.13,26.56910305,3.392676338,44.04
13-Dec-18,0.03,26.39708813,2.924107698,95.734
14-Dec-18,0.21,25.7983982,2.774015684,86.187
15-Dec-18,0.86,25.15163672,2.600003877,16.274
17-Dec-18,0.56,24.01407973,2.19093594,7.666
18-Dec-18,0.22,23.93916337,1.653337867,7.451
19-Dec-18,0.07,23.33431654,1.776240639,38.845
20-Dec-18,0.25,24.02226798,2.362707439,75.03
21-Dec-18,3.53,23.57171938,1.791563539,89.413
22-Dec-18,7.27,24.3968915,2.194984137,59.539
29-Dec-18,0.1,36.74268314,3.300008452,19.951
31-Dec-18,0.02,31.89946388,3.065972121,48.602
08-Jan-19,0.01,39.98485886,4.42751954,10.382
09-Jan-19,0.01,36.6038461,3.233460619,14.895
10-Jan-19,0.08,34.79598725,3.818783875,12.118
11-Jan-19,0.28,33.50385186,3.393703296,15.565
12-Jan-19,0.06,39.17564903,3.494959105,16.838
14-Jan-19,0.05,40.08451245,2.966165396,12.267
15-Jan-19,0,38.45362013,2.046374609,17.032
16-Jan-19,0.01,37.55978001,3.126909728,17.7
17-Jan-19,0.12,35.08462666,2.754233414,8.736
18-Jan-19,0,34.88323397,3.607079495,10.342
19-Jan-19,0.18,33.58320141,3.010160958,10.925
21-Jan-19,1.26,31.02577873,3.32017461,16.884
22-Jan-19,2.71,32.67816698,3.127867346,17.179
23-Jan-19,1.95,34.07002669,3.929649263,11.077
24-Jan-19,0.39,35.84488478,3.618052857,11.93
25-Jan-19,1.2,39.3341694,2.688947182,13.157
26-Jan-19,2.34,39.08925883,3.075829281,16.556
28-Jan-19,1.07,37.37181515,3.955756006,11.468
29-Jan-19,0.54,35.86708423,4.39170625,18.613
30-Jan-19,0.27,34.18772476,2.958442272,12.449
31-Jan-19,0.32,32.64582165,2.92670897,16.556
